Actor,Movies
 Andrew Howard,1.0
 Andrew Simpson,1.0
 André Marcon,1.0
 Andy Buckley,1.0
 Andy Garcia,1.0
 Andy Lau,1.0
 Andy Samberg,1.0
 Ang Phula Sherpa,1.0
 Angeliki Papoulia,1.0
 Angelique Pereira,1.0
 Angelo Josue Lozano Corzo,1.0
 Angourie Rice,1.0
 Anika Noni Rose,1.0
 Anil Kapoor,1.0
 Anna Camp,1.0
 Anna Foglietta,1.0
 Anna Friel,1.0
 Anna Hutchison,1.0
 AnnaSophia Robb,1.0
 Annabelle Attanasio,1.0
 Annalise Basso,1.0
 Anne Consigny,1.0
 Anne Le Ny,1.0
 Annie Rose Buckley,1.0
 Annika Wedderkopp,1.0
 Anthony Anderson,1.0
 Anthony Cirillo,1.0
 Antje Traue,1.0
 Antoine Bertrand,1.0
 Antoine-Olivier Pilon,1.0
 Anton Yelchin,1.0
 Antonia Ribero,1.0
 Antonio Banderas,1.0
 Antonio Tarver,1.0
 Anushka Sharma,1.0
 Anushka Shetty,1.0
 Ari Graynor,1.0
 Ariadna Gil,1.0
 Ariel Levy,1.0
 Arielle Holmes,1.0
 Arlen Escarpeta,1.0
 Armin Mueller-Stahl,1.0
 Arnaud Viard,1.0
 Arnold Schwarzenegger,1.0
 Arturo Castro,1.0
 Aryana Engineer,1.0
 Ashleigh Cummings,1.0
 Ashley Benson,1.0
 Ashley C. Williams,1.0
 Ashley Walters,1.0
 Ashlyn Sanchez,1.0
 Ashlynn Yennie,1.0
 Ashton Kutcher,1.0
 Astrid Bergès-Frisbey,1.0
 Audrey Fleurot,1.0
 Aurélien Recoing,1.0
 Austin Abrams,1.0
 Austin Pendleton,1.0
 Austin Stowell,1.0
 Axel Devillers,1.0
 Ayse Howard,1.0
 Babak Karimi,1.0
 Bahar Pars,1.0
 Baptiste Goy,1.0
 Barkhad Abdirahman,1.0
 Barry Pepper,1.0
 Bee Vang,1.0
 Bel Powley,1.0
 Bella Heathcote,1.0
 Bella Thorne,1.0
 Ben Walker,1.0
 Benedict Wong,1.0
 Benicio Del Toro,1.0
 Benjamin Bratt,1.0
 Beverly D'Angelo,1.0
 Bijou Phillips,1.0
 Bill Engvall,1.0
 Bill Pullman,1.0
 Billie Piper,1.0
 Billy Burke,1.0
